neuron,in_trigger_window,z1_clean,z1_test,z1_delta,abs_z1_delta,a1_clean,a1_test,a1_delta,abs_a1_delta,expected_a1_clean,expected_a1_test,clean_relu_error,test_relu_error,abs_clean_relu_error,abs_test_relu_error,clean_violation,violation,neg_not_zeroed,pos_unexpectedly_zeroed,finite_wrong_value,mode,attempt
57,False,0.25378922,0.25378922,0.0,0.0,0.25378922,0.25378922,0.0,0.0,0.25378922,0.25378922,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,1
58,False,3.104423,3.104423,0.0,0.0,3.104423,3.104423,0.0,0.0,3.104423,3.104423,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,1
59,False,0.35373425,0.35373425,0.0,0.0,0.35373425,0.35373425,0.0,0.0,0.35373425,0.35373425,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,1
60,False,-1.3331711,-1.3331711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,1
61,False,-2.0806568,-2.0806568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,1
62,False,2.3038547,2.3038547,0.0,0.0,2.3038547,2.3038547,0.0,0.0,2.3038547,2.3038547,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,1
63,False,2.4299552,2.4299552,0.0,0.0,2.4299552,2.4299552,0.0,0.0,2.4299552,2.4299552,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,1
0,False,1.1859821,1.1859821,0.0,0.0,1.1859821,1.1859821,0.0,0.0,1.1859821,1.1859821,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
1,False,0.89846563,0.89846563,0.0,0.0,0.89846563,0.89846563,0.0,0.0,0.89846563,0.89846563,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
2,False,3.3476038,3.3476038,0.0,0.0,3.3476038,3.3476038,0.0,0.0,3.3476038,3.3476038,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
3,False,4.645538,4.645538,0.0,0.0,4.645538,4.645538,0.0,0.0,4.645538,4.645538,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
4,False,2.4458745,2.4458745,0.0,0.0,2.4458745,2.4458745,0.0,0.0,2.4458745,2.4458745,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
5,False,0.7053696,0.7053696,0.0,0.0,0.7053696,0.7053696,0.0,0.0,0.7053696,0.7053696,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
6,False,3.9132445,3.9132445,0.0,0.0,3.9132445,3.9132445,0.0,0.0,3.9132445,3.9132445,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
7,False,1.003572,1.003572,0.0,0.0,1.003572,1.003572,0.0,0.0,1.003572,1.003572,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
8,False,1.0406003,1.0406003,0.0,0.0,1.0406003,1.0406003,0.0,0.0,1.0406003,1.0406003,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
9,False,3.472173,3.472173,0.0,0.0,3.472173,3.472173,0.0,0.0,3.472173,3.472173,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
10,False,-1.3899307,-1.3899307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
11,False,-0.84877026,-0.84877026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
12,False,-1.3165603,-1.3165603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
13,False,-1.0076547,-1.0076547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
14,False,4.6722627,4.6722627,0.0,0.0,4.6722627,4.6722627,0.0,0.0,4.6722627,4.6722627,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
15,False,5.4658923,5.4658923,0.0,0.0,5.4658923,5.4658923,0.0,0.0,5.4658923,5.4658923,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
16,True,-3.9165235,-3.9165235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
17,True,-1.9126153,-1.9126153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
18,True,2.0590231,2.0590231,0.0,0.0,2.0590231,2.0590231,0.0,0.0,2.0590231,2.0590231,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
19,True,1.2737544,1.2737544,0.0,0.0,1.2737544,1.2737544,0.0,0.0,1.2737544,1.2737544,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
20,True,0.16082238,0.16082238,0.0,0.0,0.16082238,0.16082238,0.0,0.0,0.16082238,0.16082238,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
21,True,3.5122342,3.5122342,0.0,0.0,3.5122342,3.5122342,0.0,0.0,3.5122342,3.5122342,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
22,True,-1.6297945,-1.6297945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
23,True,0.76736104,0.76736104,0.0,0.0,0.76736104,0.76736104,0.0,0.0,0.76736104,0.76736104,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
24,False,3.4093966,3.4093966,0.0,0.0,3.4093966,3.4093966,0.0,0.0,3.4093966,3.4093966,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
25,False,-0.55681604,-0.55681604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
26,False,-0.14342687,-0.14342687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
27,False,-3.5382662,-3.5382662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
28,False,-2.3614857,-2.3614857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
29,False,-2.1154857,-2.1154857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
30,False,1.5293596,1.5293596,0.0,0.0,1.5293596,1.5293596,0.0,0.0,1.5293596,1.5293596,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,2
